file_name	words	duration
data/train/clipping-306514b0-d498-41ff-b6ef-333cc36045d8.wav	النار سمعت واحد قال لصاحبه رخص يكون عندنا شويه التراب	5.934172335600908
data/train/1ddb113f-bbbd-426b-be1f-0e0be670ae4d.wav	مرام راكان اسمع والدلائل شيء واحد	4.704580498866213
data/train/time_dropout-1e3fcef4-25ec-4548-8075-7868e5b307bb.wav	ممكن نكون جاي في الطريق	3.2783900226757368
data/train/frequency_dropout-ea8b3804-0015-4955-b07e-7c4dfae733d3.wav	احطه قدام الباب	2.7124036281179142
data/train/speed_perturbation-8bd5d18b-6f0b-42aa-8ed4-6b303d39aeb3.wav	يدك الزخمات اللي طلبنا منك بطاريه	3.9024263038548734
data/train/frequency_dropout-49a99c87-b7f8-484f-9a24-55ba25fd21ec.wav	طبيعه العلاقات في الحبس اكسسوار صاحبها	5.208548752834466
data/train/time_dropout-9a4b90a0-7a8f-426d-967c-f275cd5cda2f.wav	نروح ذا اللي حضرت لي هو	3.1622902494331067
data/train/frequency_dropout-533a9ff6-7059-437b-860f-ee0d19fed7a0.wav	وانا مؤخرا	3.087666666666667
data/train/frequency_dropout-cbde2674-5f29-4c43-b0e1-eda710fd8ec6.wav	بس قدرت للسمنه غير واحد شويه للرياض	4.758662131519276
data/train/clipping-1043c7ec-c38f-4366-a8fb-7754cf16eca2.wav	يعني انك تحمي	2.8139909297052155
data/train/speed_perturbation-19c3de6c-f976-403c-b208-fcd42b715f4a.wav	خيبه و انا في حاله من ستيرونات ما عندهم	6.74687074829932
data/train/time_dropout-593f6216-b8ba-4e56-bfea-32184201d4a5.wav	تلاتة او عشرين	1.4
data/train/time_dropout-53819068-f893-4686-a787-dd0746d1f187.wav	بلانكس ويكون مخدوم من قاعد جوايا	4.628049886621316
data/train/86fffbde-f3ae-42c5-b87d-491e723f9315.wav	ويلي	2.248004535147392
data/train/frequency_dropout-40418931-8275-4dce-a6ee-6b4f164108ca.wav	لقط رابط	2.8575283446712016
data/train/time_dropout-1043c7ec-c38f-4366-a8fb-7754cf16eca2.wav	يعني انك تحمي	2.8139909297052155
data/train/frequency_dropout-cc377ad2-d0d5-4def-b2da-5cdf2187a3e6.wav	اغنيه المقطع هذا الواحد نعرف بدنا نعرف لكليب كان وتشربوا بعد بعد	7.217666666666666
data/train/time_dropout-3235b9d5-c43d-412e-ad14-4f5fcd29afc9.wav	من ذاك النار ولا عنده زوج	4.381337868480726
data/train/frequency_dropout-4fd33aaf-fa16-410f-984f-2d8e68a5a9b6.wav	كل حسب اخواتك يخرج من كل تقابلو كوردي	4.918299319727892
data/train/8cab9d0f-8a52-41ad-8fa5-397b206c184c.wav	كل واحد	2.567278911564626
data/train/time_dropout-31c0abe5-3b0b-4514-8c89-ec11731072a0.wav	عجبني لون هدا الطبلة	1.9
data/train/clipping-7d483d46-9acd-4577-be67-83b4891bdbc7.wav	بقوه	3.2348526077097506
data/train/7cfc17c6-1e5c-44da-9242-693201402ffb.wav	فلوس ورق حائط	2.8430158730158728
data/train/frequency_dropout-a2cde460-caee-4a50-8c2a-482f6cebc4bd.wav	نغير فلاحه	2.930090702947846
data/train/time_dropout-c1fe6c9b-3a9f-46be-81b5-151ceea6d40e.wav	مليش في القيامه اللي ينط عليه	3.7137641723356007
data/train/clipping-83d23e6f-3b9f-4227-8dc3-e2f3b071cda3.wav	هي فدارها	1.0
